P,PdVPr,x,x1,x2,x3,y,y1,y2,y3
AVA,MMM(0) v LRR(0),2078,688,692,698,-7518,-2461,-2535,-2522
AVE,MMM(0) v LRR(1/3),2384,783,781,820,-6025,-2009,-2009,-2009
AVS,MMM(0) v LRR(1),2220,705,734,780,-4219,-257,-1520,-2443
EVA,MMM(1/3) v LRR(0),3385,1128,1128,1128,-8046,-2794,-2597,-2656
EVE,MMM(1/3) v LRR(1/3),7459,2486,2486,2486,-6323,-2108,-2108,-2108
EVS,MMM(1/3) v LRR(1),3694,1231,1231,1231,-5246,-329,-2639,-2280
SVA,MMM(1) v LRR(0),12167,3389,4236,4541,-10896,-3689,-3672,-3536
SVE,MMM(1) v LRR(1/3),11854,3640,4313,3900,-9591,-3197,-3197,-3197
SVS,MMM(1) v LRR(1),9917,5018,1998,2900,-7145,-1085,-4227,-1834
AVA,DDD(0) v DRR(0),2180,732,742,704,-6610,-2184,-2117,-2310
AVE,DDD(0) v DRR(1/3),2497,849,841,806,-4889,-1630,-1630,-1630
AVS,DDD(0) v DRR(1),1720,570,579,570,-6576,-194,-3607,-2776
EVA,DDD(1/3) v DRR(0),4517,1505,1505,1505,-7503,-2634,-2364,-2507
EVE,DDD(1/3) v DRR(1/3),7118,2372,2372,2372,-7399,-2467,-2467,-2467
EVS,DDD(1/3) v DRR(1),4365,1455,1455,1455,-5153,-229,-2175,-2751
SVA,DDD(1) v DRR(0),14807,4154,6236,4417,-11301,-4324,-3194,-3785
SVE,DDD(1) v DRR(1/3),17513,5183,6534,5795,-10631,-3544,-3544,-3544
SVS,DDD(1) v DRR(1),13211,3318,6235,3657,-9269,-645,-4530,-4095
AVA,LLL(0) v DDD(0),4168,1375,1470,1323,-2523,-845,-842,-836
AVE,LLL(0) v DDD(1/3),2298,782,787,729,-1002,-334,-334,-334
AVS,LLL(0) v DDD(1),1253,444,400,409,-547,-176,-188,-183
EVA,LLL(1/3) v DDD(0),5805,1935,1935,1935,-3654,-1206,-1154,-1294
EVE,LLL(1/3) v DDD(1/3),5811,1937,1937,1937,-2496,-832,-832,-832
EVS,LLL(1/3) v DDD(1),1779,593,593,593,-833,-422,-204,-207
SVA,LLL(1) v DDD(0),17686,5683,6311,5692,-7905,-2161,-3120,-2624
SVE,LLL(1) v DDD(1/3),9712,3075,3277,3360,-3954,-1318,-1318,-1318
SVS,LLL(1) v DDD(1),5167,1659,1597,1911,-2137,-296,-823,-1018
AVA,RRR(0) v MMM(0),2654,886,860,908,-1907,-641,-633,-633
AVE,RRR(0) v MMM(1/3),2257,738,746,773,-867,-289,-289,-289
AVS,RRR(0) v MMM(1),1719,598,547,574,-665,-244,-195,-226
EVA,RRR(1/3) v MMM(0),2454,818,818,818,-1931,-625,-652,-654
EVE,RRR(1/3) v MMM(1/3),1899,633,633,633,-816,-272,-272,-272
EVS,RRR(1/3) v MMM(1),1461,487,487,487,-625,-203,-217,-205
SVA,RRR(1) v MMM(0),2509,807,844,858,-1897,-656,-622,-619
SVE,RRR(1) v MMM(1/3),2165,595,812,758,-831,-277,-277,-277
SVS,RRR(1) v MMM(1),1512,580,575,357,-612,-201,-226,-185
AVA,MLL(0) v DRR(0),1935,666,606,663,-8670,-2847,-2899,-2924
AVE,MLL(0) v DRR(1/3),2532,819,876,837,-4857,-1619,-1619,-1619
AVS,MLL(0) v DRR(1),1729,577,589,563,-5167,-189,-3122,-1856
EVA,MLL(1/3) v DRR(0),3732,1244,1244,1244,-7858,-2721,-2404,-2733
EVE,MLL(1/3) v DRR(1/3),7407,2469,2469,2469,-6486,-2162,-2162,-2162
EVS,MLL(1/3) v DRR(1),3798,1266,1266,1266,-5279,-196,-2708,-2375
SVA,MLL(1) v DRR(0),11728,4219,3915,3594,-10786,-3090,-3459,-4237
SVE,MLL(1) v DRR(1/3),17852,5145,5489,7218,-9912,-3304,-3304,-3304
SVS,MLL(1) v DRR(1),8727,4874,2384,1469,-7883,-550,-4232,-3101
AVA,MMD(0) v MMM(0),2772,922,977,873,-2294,-762,-760,-772
AVE,MMD(0) v MMM(1/3),2243,771,803,669,-954,-318,-318,-318
AVS,MMD(0) v MMM(1),1287,449,420,418,-574,-174,-196,-204
EVA,MMD(1/3) v MMM(0),7218,2406,2406,2406,-4426,-1708,-1367,-1351
EVE,MMD(1/3) v MMM(1/3),3867,1289,1289,1289,-1737,-579,-579,-579
EVS,MMD(1/3) v MMM(1),1677,559,559,559,-838,-230,-315,-293
SVA,MMD(1) v MMM(0),16006,5127,5662,5217,-7298,-2366,-2480,-2452
SVE,MMD(1) v MMM(1/3),8274,3156,2771,2347,-3210,-1070,-1070,-1070
SVS,MMD(1) v MMM(1),4880,1974,1621,1285,-2130,-487,-1082,-561
AVA,MML(0) v MDR(0),2755,912,878,964,-3917,-1417,-1464,-1038
AVE,MML(0) v MDR(1/3),2617,886,864,866,-3335,-1112,-1112,-1112
AVS,MML(0) v MDR(1),1597,508,544,543,-2391,-195,-191,-2006
EVA,MML(1/3) v MDR(0),5889,1963,1963,1963,-6144,-2280,-2055,-1810
EVE,MML(1/3) v MDR(1/3),6909,2303,2303,2303,-5225,-1742,-1742,-1742
EVS,MML(1/3) v MDR(1),5243,1747,1747,1747,-4203,-236,-205,-3763
SVA,MML(1) v MDR(0),15146,5040,4907,5198,-8702,-3199,-3092,-2412
SVE,MML(1) v MDR(1/3),15854,7414,4310,4129,-7087,-2363,-2363,-2363
SVS,MML(1) v MDR(1),8605,2919,3305,2379,-5170,-776,-564,-3831
AVA,LLD(0) v LRR(0),2251,758,753,738,-7043,-2448,-2263,-2334
AVE,LLD(0) v LRR(1/3),2280,783,751,745,-5587,-1863,-1863,-1863
AVS,LLD(0) v LRR(1),1960,633,681,646,-4567,-227,-2113,-2228
EVA,LLD(1/3) v LRR(0),3803,1267,1267,1267,-9550,-3088,-3305,-3159
EVE,LLD(1/3) v LRR(1/3),6810,2270,2270,2270,-6587,-2196,-2196,-2196
EVS,LLD(1/3) v LRR(1),3554,1184,1184,1184,-6566,-414,-2704,-3449
SVA,LLD(1) v LRR(0),14125,4784,4703,4637,-10150,-3945,-2749,-3458
SVE,LLD(1) v LRR(1/3),17267,5677,5191,6398,-10457,-3486,-3486,-3486
SVS,LLD(1) v LRR(1),8755,2162,3200,3392,-7308,-1262,-3225,-2823
AVA,DDL(0) v LDR(0),3039,1023,1018,997,-4440,-1691,-1735,-1015
AVE,DDL(0) v LDR(1/3),2344,770,748,824,-953,-318,-318,-318
AVS,DDL(0) v LDR(1),1728,579,585,563,-2155,-200,-191,-1764
EVA,DDL(1/3) v LDR(0),5762,1920,1920,1920,-6136,-1882,-2410,-1846
EVE,DDL(1/3) v LDR(1/3),7293,2431,2431,2431,-4809,-1603,-1603,-1603
EVS,DDL(1/3) v LDR(1),4112,1370,1370,1370,-3360,-315,-223,-2824
SVA,DDL(1) v LDR(0),16874,4902,5247,6724,-9445,-3283,-3013,-3149
SVE,DDL(1) v LDR(1/3),14125,3812,6135,4177,-6715,-2239,-2239,-2239
SVS,DDL(1) v LDR(1),7206,2230,1585,3390,-4862,-1016,-434,-3413
AVA,MMR(0) v LLL(0),2709,903,873,931,-2075,-707,-695,-675
AVE,MMR(0) v LLL(1/3),2344,770,748,824,-953,-318,-318,-318
AVS,MMR(0) v LLL(1),1537,532,476,528,-598,-214,-187,-198
EVA,MMR(1/3) v LLL(0),5913,1971,1971,1971,-3556,-1250,-1084,-1223
EVE,MMR(1/3) v LLL(1/3),4214,1404,1404,1404,-1796,-599,-599,-599
EVS,MMR(1/3) v LLL(1),1446,482,482,482,-662,-254,-220,-189
SVA,MMR(1) v LLL(0),11275,5115,5039,1120,-5660,-1697,-1677,-2286
SVE,MMR(1) v LLL(1/3),6821,3098,2869,853,-2667,-889,-889,-889
SVS,MMR(1) v LLL(1),3233,1380,981,871,-1336,-594,-473,-270
AVA,MMR(0) v DDD(0),3203,1007,1013,1182,-2382,-750,-812,-821
AVE,MMR(0) v DDD(1/3),2171,696,760,713,-954,-318,-318,-318
AVS,MMR(0) v DDD(1),1207,381,400,425,-520,-171,-169,-182
EVA,MMR(1/3) v DDD(0),7767,2589,2589,2589,-4356,-965,-1666,-1727
EVE,MMR(1/3) v DDD(1/3),3718,1239,1239,1239,-1643,-548,-548,-548
EVS,MMR(1/3) v DDD(1),1634,544,544,544,-750,-195,-206,-350
SVA,MMR(1) v DDD(0),13644,6009,6571,1063,-6137,-1720,-2601,-1817
SVE,MMR(1) v DDD(1/3),7667,3264,3448,953,-3101,-1034,-1034,-1034
SVS,MMR(1) v DDD(1),3416,1385,1403,626,-1436,-568,-195,-675
AVA,DDR(0) v DRL(0),2774,894,923,955,-3439,-1323,-851,-1267
AVE,DDR(0) v DRL(1/3),2866,911,935,1019,-3173,-1058,-1058,-1058
AVS,DDR(0) v DRL(1),1598,506,530,562,-3145,-167,-2783,-196
EVA,DDR(1/3) v DRL(0),5503,1834,1834,1834,-5579,-2213,-1614,-1753
EVE,DDR(1/3) v DRL(1/3),5915,1971,1971,1971,-4855,-1619,-1619,-1619
EVS,DDR(1/3) v DRL(1),3123,1041,1041,1041,-3315,-195,-2843,-278
SVA,DDR(1) v DRL(0),12392,5957,5412,1023,-7600,-2650,-2614,-2337
SVE,DDR(1) v DRL(1/3),9629,3816,4771,1041,-5912,-1971,-1971,-1971
SVS,DDR (1)v DRL(1),9689,3404,5463,821,-5852,-313,-5201,-339
AVA,DRR(0) v DDL(0),2838,868,998,971,-2086,-716,-729,-642
AVE,DRR(0) v DDL(1/3),2125,686,741,697,-907,-303,-303,-303
AVS,DRR(0) v DDL(1),1240,345,447,447,-523,-158,-179,-188
EVA,DRR(1/3) v DDL(0),4422,1474,1474,1474,-2759,-823,-996,-941
EVE,DRR(1/3) v DDL(1/3),3675,1225,1225,1225,-1646,-549,-549,-549
EVS,DRR(1/3) v DDL(1),1218,406,406,406,-562,-165,-188,-210
SVA,DRR(1) v DDL(0),7268,5224,1056,987,-3632,-981,-1424,-1228
SVE,DRR(1) v DDL(1/3),4426,2579,858,989,-1759,-587,-587,-587
SVS,DRR(1) v DDL(1),1931,947,542,441,-791,-305,-176,-312
AVA,LRR(0) v MDR(0),2315,794,756,764,-4715,-1669,-1819,-1228
AVE,LRR(0) v MDR(1/3),2403,793,814,795,-3333,-1111,-1111,-1111
AVS,LRR(0) v MDR(1),1537,485,518,533,-2701,-195,-160,-2347
EVA,LRR(1/3) v MDR(0),3695,1231,1231,1231,-5832,-2096,-1980,-1758
EVE,LRR(1/3) v MDR(1/3),4647,1549,1549,1549,-4302,-1434,-1434,-1434
EVS,LRR(1/3) v MDR(1),2158,719,719,719,-3646,-195,-173,-3279
SVA,LRR(1) v MDR(0),6954,5079,892,982,-5119,-2045,-1582,-1493
SVE,LRR(1) v MDR(1/3),6179,4365,865,948,-3843,-1281,-1281,-1281
SVS,LRR(1) v MDR(1),4861,3398,722,740,-3243,-459,-184,-2601
AVA,LLR(0)  v DLL(0),2562,843,854,864,-1918,-682,-648,-589
AVE,LLR(0)  v DLL(1/3),2175,722,728,724,-921,-307,-307,-307
AVS,LLR(0)  v DLL(1),1181,396,392,393,-498,-158,-160,-181
EVA,LLR(1/3) v DLL(0),6591,2197,2197,2197,-3805,-1102,-1382,-1322
EVE,LLR(1/3) v DLL(1/3),3484,1161,1161,1161,-1559,-520,-520,-520
EVS,LLR(1/3) v DLL(1),1552,517,517,517,-734,-196,-270,-269
SVA,LLR(1) v DLL(0),13343,5956,6264,1122,-5939,-2162,-1664,-2114
SVE,LLR(1) v DLL(1/3),6691,2569,2994,1127,-2821,-941,-941,-941
SVS,LLR(1) v DLL(1),3004,1006,1351,646,-1246,-342,-695,-209
AVA,MDD(0) v MMM(0),3124,1057,1022,1044,-2468,-859,-830,-780
AVE,MDD(0) v MMM(1/3),2068,723,656,688,-910,-304,-304,-304
AVS,MDD(0) v MMM(1),1305,436,409,460,-564,-197,-184,-184
EVA,MDD(1/3) v MMM(0),5190,1730,1730,1730,-3382,-950,-1221,-1212
EVE,MDD(1/3) v MMM(1/3),4101,1367,1367,1367,-1784,-595,-595,-595
EVS,MDD(1/3) v MMM(1),1599,533,533,533,-792,-203,-218,-372
SVA,MDD(1) v MMM(0),18614,6133,6740,5741,-7963,-2046,-2865,-3053
SVE,MDD(1) v MMM(1/3),9576,3681,2749,3144,-3835,-1279,-1279,-1279
SVS,MDD(1) v MMM(1),3894,1547,1125,1221,-1738,-889,-275,-575
AVA,MDL(0) v MRR(0),2019,684,667,668,-8600,-2849,-2968,-2784
AVE,MDL(0) v MRR(1/3),2269,764,739,765,-6700,-2234,-2234,-2234
AVS,MDL(0) v MRR(1),2029,629,689,710,-5335,-225,-2558,-2553
EVA,MDL(1/3) v MRR(0),4137,1379,1379,1379,-7869,-2628,-2514,-2728
EVE,MDL(1/3) v MRR(1/3),3989,1329,1329,1329,-7763,-2588,-2588,-2588
EVS,MDL(1/3) v MRR(1),4549,1516,1516,1516,-5186,-239,-2380,-2568
SVA,MDL(1) v MRR(0),10404,5036,4418,950,-7605,-3020,-2615,-1970
SVE,MDL(1) v MRR(1/3),16164,5820,5874,4469,-10291,-3431,-3431,-3431
SVS,MDL(1) v MRR(1),9353,3332,1767,4253,-6830,-848,-3176,-2806
AVA,DLR(0) v MRL(0),2369,741,826,801,-4937,-1908,-1114,-1916
AVE,DLR(0) v MRL(1/3),2655,827,931,897,-2864,-955,-955,-955
AVS,DLR(0) v MRL(1),1826,654,608,564,-2625,-195,-2201,-230
EVA,DLR(1/3) v MRL(0),8254,2751,2751,2751,-5490,-2221,-1739,-1531
EVE,DLR(1/3) v MRL(1/3),5338,1779,1779,1779,-4493,-1498,-1498,-1498
EVS,DLR(1/3) v MRL(1),2447,815,815,815,-2953,-207,-2362,-385
SVA,DLR(1) v MRL(0),10404,5036,4418,950,-7605,-3020,-2615,-1970
SVE,DLR(1) v MRL(1/3),9123,4250,3836,1036,-6461,-2154,-2154,-2154
SVS,DLR(1) v MRL(1),6397,1535,3940,921,-4067,-239,-3115,-714
AVA,MDR(0) v MLL(0),2542,888,801,852,-2235,-731,-734,-771
AVE,MDR(0) v MLL(1/3),2292,788,737,767,-947,-316,-316,-316
AVS,MDR(0) v MLL(1),1329,445,389,493,-546,-188,-196,-163
EVA,MDR(1/3) v MLL(0),5565,1855,1855,1855,-3654,-1336,-1353,-965
EVE,MDR(1/3) v MLL(1/3),3696,1232,1232,1232,-1557,-519,-519,-519
EVS,MDR(1/3) v MLL(1),1599,533,533,533,-764,-257,-192,-317
SVA,MDR(1) v MLL(0),13055,4796,7182,1076,-6161,-1965,-2071,-2126
SVE,MDR(1) v MLL(1/3),5435,2550,2094,791,-2277,-759,-759,-759
SVS,MDR(1) v MLL(1),3006,1397,855,753,-1215,-688,-205,-323
AVA,LLR(0) v RRR(0),1898,612,644,642,-9105,-3055,-2977,-3074
AVE,LLR(0) v RRR(1/3),1992,668,681,642,-7924,-2642,-2642,-2642
AVS,LLR(0) v RRR(1),2090,693,688,708,-6072,-2179,-1983,-1911
EVA,LLR(1/3) v RRR(0),2762,920,920,920,-8375,-2877,-2732,-2767
EVE,LLR(1/3) v RRR(1/3),3708,1236,1236,1236,-8009,-2670,-2670,-2670
EVS,LLR(1/3) v RRR(1),2813,937,937,937,-8634,-2872,-2876,-2888
SVA,LLR(1) v RRR(0),6495,2024,3683,787,-9892,-3380,-3049,-3464
SVE,LLR(1) v RRR(1/3),8167,3569,3768,829,-9833,-3278,-3278,-3278
